epochs,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10,avg
11,0.8347328901290894,0.8412720561027527,0.8404840230941772,0.8485314846038818,0.842068076133728,0.8214781284332275,0.8396024107933044,0.8320428133010864,0.8375054597854614,0.8287770748138428,0.8366494417190552
12,0.8429206609725952,0.848014771938324,0.850322961807251,0.8556622266769409,0.8540440797805786,0.8371173143386841,0.8488155007362366,0.8441109657287598,0.8347886204719543,0.8410097360610962,0.8456806838512421
13,0.8400283455848694,0.8566061854362488,0.8593766689300537,0.8603820204734802,0.8598492741584778,0.8364665508270264,0.8527641296386719,0.8630954623222351,0.8527648448944092,0.848133385181427,0.85294668674469
14,0.8445795774459839,0.8579001426696777,0.8595075607299805,0.8674627542495728,0.8609339594841003,0.8441465497016907,0.8678643703460693,0.867425799369812,0.8597961068153381,0.8481967449188232,0.8577813565731048
15,0.8524937629699707,0.8632816076278687,0.8625264167785645,0.8764038681983948,0.8679316639900208,0.8540952205657959,0.8713475465774536,0.8667376041412354,0.8594238758087158,0.8616077899932861,0.8635849356651306
16,0.8577221632003784,0.8697614669799805,0.8670617341995239,0.8767473697662354,0.8695040941238403,0.8687015175819397,0.8674106001853943,0.8692234754562378,0.8635563254356384,0.8642368316650391,0.8673925578594208
17,0.8604078888893127,0.8797354102134705,0.8749457597732544,0.8743295669555664,0.8826810121536255,0.870976448059082,0.873652994632721,0.8720737099647522,0.8694685697555542,0.8695351481437683,0.8727806508541107
18,0.8686091899871826,0.8842228651046753,0.8809607625007629,0.8802169561386108,0.8947010040283203,0.8803933262825012,0.8781652450561523,0.8818358182907104,0.8746993541717529,0.8746761679649353,0.8798480689525604
19,0.8829625844955444,0.8915584087371826,0.8839220404624939,0.8945688605308533,0.8858100175857544,0.882439374923706,0.8825662136077881,0.8837813138961792,0.8835456371307373,0.8754304647445679,0.8846584916114807
20,0.8884692192077637,0.9000465869903564,0.8903827667236328,0.8947534561157227,0.8960452675819397,0.8816287517547607,0.8861679434776306,0.8844531178474426,0.8862587213516235,0.8822892308235168,0.8890495061874389
21,0.885697066783905,0.8934451341629028,0.8819932341575623,0.9040470123291016,0.9021215438842773,0.8864346742630005,0.8899878263473511,0.8959759473800659,0.8910290598869324,0.8883890509605408,0.8919120550155639
